Non.Head,Zipfsubtlex,Zipf_10M,Zipf_100M
goose,4.02777,4.04625,4.2259
geese,3.6519,3.54185,3.81799
swan,3.98376,3.86061,3.8301
swans,3.70688,3.50407,3.42038
ox,3.39209,3.52962,3.88383
oxen,2.90525,3.8244,3.73648
cow,4.44011,4.84529,4.9955
cows,4.25276,4.30152,4.41124
louse,2.66886,2.46267,2.68082
lice,3.2868,3.13168,3.04753
flea,3.49988,3.16164,3.38156
fleas,3.45389,2.46267,3.21851
mouse,4.41482,4.63586,4.80005
mice,3.91164,4.08936,4.19474
rat,4.22555,4.12857,4.2052
rats,4.02838,3.94934,4.0064
foot,4.91934,5.09072,5.10584
feet,5.07716,5.31637,5.35163
leg,4.87632,4.76298,4.81129
legs,4.85298,4.93494,4.96283
tooth,4.08773,3.96328,4.11284
teeth,4.70053,4.82878,4.90913
bone,4.5139,4.41043,4.45257
bones,4.42982,4.5093,4.46426
child,5.14472,5.684,5.50831
children,5.52835,5.52085,5.50545
adult,4.40331,4.29942,4.71605
adults,4.27277,4.08936,4.16001
woman,5.22085,5.36322,5.36451
women,5.28064,5.17616,5.24917
girl,5.29345,5.71423,5.70143
girls,5.22702,5.31617,5.34394
man,5.85755,5.98106,5.99202
men,5.36528,5.57315,5.5983
boy,5.2761,5.77351,5.75638
boys,5.19912,5.40203,5.43891
salesman,3.69005,3.56534,3.45749
salesmen,2.95341,2.93979,2.7149
retailer,3.63074,2.68452,2.90444
retailers,3.91663,2.7637,2.8167
nobleman,2.82284,3.26431,3.33305
noblemen,2.53458,2.46267,3.02001
aristocrat,3.08843,2.28658,2.89371
aristocrats,3.08313,2.88864,2.9097
boatman,2.62515,2.83065,3.31284
boatmen,2.64022,2.83065,2.84796
shipmate,2.34895,2.7637,2.77595
shipmates,2.60955,3.06473,3.18375
craftsman,3.25684,3.02694,2.7968
craftsmen,3.44081,2.83065,2.94001
labourer,3.10398,3.13168,2.9097
labourers,3.11071,3.216,3.13675
fireman,3.48107,4.10282,4.43763
firemen,3.29996,3.66679,3.77738
lifeguard,2.96525,2.28658,2.69819
lifeguards,2.74106,2.46267,2.37084
